Bitstring,Count
'11000011111111111111',1
'11000111000010000000',1
'11000111101111010001',1
'11001000000000000000',1
'11001000001000000000',1
'11001011111011110111',1
'11001011111111111110',1
'11001100000000000000',1
'11001101000000010001',1
'11001101111001111111',1
'11001110001000000001',1
'11001110001111111111',1
'11001110011000001001',1
'11001110011000001101',1
'11001110011111111111',1
'11001110100011111111',1
'11001110110000001111',1
'11001111001100000001',1
'11001111010000000001',1
'11001111011000001001',1
'11001111100000000001',1
'11001111100011111111',1
'11001111100100000001',1
'11001111101000001001',1
'11001111101100000001',1
'11001111110000000001',1
'11001111110110010001',1
'11001111111100111111',1
'11001111111111101101',1
'11001111111111111111',3
'11010000000000000000',2
'11010000111011111111',1
'11010001100000000000',1
'11010001111111111100',1
'11010010000000000000',1
'11010111011111111111',1
'11010111111011101110',1
'11011000000000000001',1
'11011000000000001000',1
'11011000000000001001',1
'11011000000001101111',1
'11011000111000001001',1
'11011001000000000000',1
'11011001000000011001',1
'11011001111111111111',1
'11011010111111110111',1
'11011011110111101111',1
'11011011111011000001',1
'11011011111111111111',3
'11011101011000000001',1
'11011101101000100001',1
'11011101111110101001',1
'11011110000000000000',1
'11011110000000000001',2
'11011110000100000000',1
'11011110000110111111',1
'11011110010000000001',1
'11011110010000000101',1
'11011110101111111010',1
'11011110110000000001',1
'11011110110011100001',1
'11011110111000000001',1
'11011110111111100001',1
'11011110111111111111',6
'11011111001000000001',1
'11011111001111011111',1
'11011111010000000001',2
'11011111010000000101',1
'11011111010000001001',1
'11011111011000011001',1
'11011111011101101111',1
'11011111011110000001',1
'11011111011111011001',1
'11011111011111111111',5
'11011111100000000001',2
'11011111100011001111',1
'11011111100111111111',1
'11011111101100000001',1
'11011111101111111111',2
'11011111110000000001',2
'11011111110000001001',1
'11011111110001101111',1
'11011111110100000001',1
'11011111110111111111',6
'11011111111011101111',1
'11011111111011111111',1
'11011111111101111111',1
'11011111111110001011',1
'11011111111110111111',1
'11011111111111001011',1
'11011111111111011111',2
'11011111111111101111',1
'11011111111111110011',1
'11011111111111111110',1
'11011111111111111111',18
'11100000000000000001',4
'11100001100000000001',1
'11100001111111111111',1
'11100100000000000001',1
'11100100000000010001',1
'11100101111111111111',2
'11100110011000001001',1
'11100111110111111111',1
'11100111111111111111',2
'11101000000000000000',1
'11101000000000000001',2
'11101001111000000001',1
'11101001111111111111',1
'11101011011111011111',1
'11101011011111101111',1
'11101011111111101111',2
'11101011111111111111',1
'11101100000000000001',1
'11101100001110100001',1
'11101100100000000001',1
'11101100101000000001',1
'11101100111111111111',1
'11101101111111101111',1
'11101110000000000001',1
'11101110011001111111',1
'11101110011111100001',1
'11101110100000011111',1
'11101110101000000001',1
'11101110111110111111',1
'11101110111111011111',1
'11101110111111101111',1
'11101110111111111111',1
'11101111000011101111',1
'11101111000011111111',1
'11101111001101111111',1
'11101111010000000001',1
'11101111010011011111',1
'11101111010111111110',1
'11101111010111111111',1
'11101111011000000001',1
'11101111011110110001',1
'11101111011111101111',1
'11101111011111110101',1
'11101111011111111101',1
'11101111011111111111',3
'11101111100000111111',1
'11101111100110111111',1
'11101111100111111111',1
'11101111101000000111',1
'11101111101000111111',1
'11101111101111101110',1
'11101111101111111111',1
'11101111110000000001',1
'11101111110001111111',1
'11101111110011100001',1
'11101111110101111111',1
'11101111110110010011',1
'11101111110111011101',1
'11101111110111011111',1
'11101111110111111111',3
'11101111111000010001',1
'11101111111001101001',1
'11101111111001110001',1
'11101111111001111111',1
'11101111111011101111',1
'11101111111011110001',1
'11101111111011111111',2
'11101111111100000001',2
'11101111111100111111',1
'11101111111101000001',1
'11101111111101110001',1
'11101111111101111111',9
'11101111111110010111',2
'11101111111110110001',2
'11101111111110111001',1
'11101111111110111111',4
'11101111111111000001',3
'11101111111111001101',1
'11101111111111001111',2
'11101111111111011111',3
'11101111111111100001',1
'11101111111111100111',1
'11101111111111101111',11
'11101111111111110001',2
'11101111111111110111',1
'11101111111111111011',1
'11101111111111111101',2
'11101111111111111110',1
'11101111111111111111',67
'11110000000000000001',1
'11110000000000000011',2
'11110001000000001001',1
'11110001110111111111',1
'11110010000000000001',1
'11110010010000000001',1
'11110100001000001001',1
'11110100111111111111',1
'11110101100000000001',1
'11110101111101111111',1
'11110101111111111111',1
'11110110000000000001',1
'11110110111111111111',1
'11110111011110111111',1
'11110111011111111111',2
'11110111101111111111',1
'11110111111101111111',2
'11110111111111000001',2
'11110111111111001111',1
'11110111111111101111',1
'11110111111111111101',1
'11110111111111111110',1
'11110111111111111111',14
'11111000111111111111',1
'11111001100011000001',1
'11111001111011111111',1
'11111001111110111111',1
'11111001111111111111',3
'11111010111111111111',2
'11111011011111101111',1
'11111011110111101111',1
'11111011110111111111',1
'11111011111011111111',1
'11111011111110111111',2
'11111011111111011111',1
'11111011111111101001',1
'11111011111111110001',1
'11111011111111110111',1
'11111011111111111111',28
'11111100000000000001',3
'11111100111111111111',2
'11111101001111111111',1
'11111101010001000001',1
'11111101011100010001',1
'11111101011110000001',1
'11111101011111111111',4
'11111101101100001001',1
'11111101110101101111',1
'11111101110111011111',1
'11111101110111111111',2
'11111101111011111111',2
'11111101111100000001',1
'11111101111101111111',1
'11111101111111000001',1
'11111101111111011111',1
'11111101111111101111',7
'11111101111111110111',1
'11111101111111111001',1
'11111101111111111101',2
'11111101111111111110',4
'11111101111111111111',59
'11111110000000000001',1
'11111110010000000001',1
'11111110011000000001',1
'11111110011111111111',2
'11111110101111111111',1
'11111110110011111111',1
'11111110110111111111',1
'11111110111011111111',1
'11111110111110001001',1
'11111110111110101111',1
'11111110111110111111',1
'11111110111111011111',1
'11111110111111101111',2
'11111110111111110111',1
'11111110111111111001',1
'11111110111111111110',1
'11111110111111111111',17
'11111111000000000001',4
'11111111000000001001',1
'11111111000111111111',2
'11111111001000000001',1
'11111111001110011111',1
'11111111001111111111',3
'11111111010000000001',2
'11111111010000001001',1
'11111111010001111001',1
'11111111010111111111',5
'11111111011011111111',3
'11111111011100111111',1
'11111111011101111111',1
'11111111011110111110',1
'11111111011110111111',7
'11111111011111011111',4
'11111111011111101111',3
'11111111011111110111',1
'11111111011111111001',1
'11111111011111111011',1
'11111111011111111110',1
'11111111011111111111',60
'11111111100000000001',2
'11111111100011111111',2
'11111111100111101111',1
'11111111100111111111',2
'11111111101011101111',1
'11111111101011111111',1
'11111111101100000001',1
'11111111101101101111',1
'11111111101110011111',1
'11111111101110111111',4
'11111111101111011111',1
'11111111101111101111',1
'11111111101111110111',1
'11111111101111111011',1
'11111111101111111111',26
'11111111110000000001',5
'11111111110000011101',1
'11111111110010111111',2
'11111111110011111111',1
'11111111110100000001',2
'11111111110100001001',1
'11111111110101000001',1
'11111111110101101111',1
'11111111110101111111',1
'11111111110110101111',1
'11111111110110111111',1
'11111111110111011111',3
'11111111110111100001',1
'11111111110111101001',1
'11111111110111101111',7
'11111111110111111001',1
'11111111110111111101',1
'11111111110111111110',1
'11111111110111111111',39
'11111111111000000001',7
'11111111111000001001',1
'11111111111001100001',1
'11111111111001100101',1
'11111111111001111111',3
'11111111111010101111',1
'11111111111010111101',1
'11111111111010111111',2
'11111111111011011111',1
'11111111111011101111',2
'11111111111011110111',1
'11111111111011111110',1
'11111111111011111111',30
'11111111111100000001',2
'11111111111100001001',1
'11111111111100101111',1
'11111111111100110111',1
'11111111111100111110',1
'11111111111100111111',2
'11111111111101011111',1
'11111111111101101011',1
'11111111111101101111',1
'11111111111101111011',1
'11111111111101111101',1
'11111111111101111111',17
'11111111111110000001',6
'11111111111110001001',1
'11111111111110001101',1
'11111111111110010001',1
'11111111111110011111',4
'11111111111110100001',2
'11111111111110101111',7
'11111111111110110001',1
'11111111111110110111',1
'11111111111110111101',1
'11111111111110111110',1
'11111111111110111111',82
'11111111111111000001',5
'11111111111111000011',1
'11111111111111001001',2
'11111111111111001101',1
'11111111111111001111',3
'11111111111111010001',1
'11111111111111011001',1
'11111111111111011101',2
'11111111111111011111',27
'11111111111111100001',2
'11111111111111100111',2
'11111111111111101011',1
'11111111111111101110',2
'11111111111111101111',98
'11111111111111110001',5
'11111111111111110101',1
'11111111111111110111',12
'11111111111111111001',4
'11111111111111111011',6
'11111111111111111100',2
'11111111111111111101',13
'11111111111111111110',33
'11111111111111111111',1033
