Bitstring,Count
'10100000101111111111',1
'10100000111000000111',1
'10100001011111111111',1
'10100001100000001011',1
'10100010000000000001',1
'10100100000000000011',1
'10101110011111111100',1
'10101110111111111111',1
'10101111000111101111',1
'10101111111110101100',1
'10101111111111111101',1
'10110000100000000001',1
'10110001111111111111',1
'10110110000000000001',1
'10110110111111111111',1
'10110111111111111101',1
'10110111111111111111',2
'10111010111111111101',1
'10111100100000000011',1
'10111101100111110111',1
'10111110011111111111',3
'10111110101111100001',1
'10111110111100000001',1
'10111111010111111111',1
'10111111011111111111',2
'10111111101111111111',1
'10111111110000000001',2
'10111111111011111111',1
'10111111111110000001',1
'10111111111111011111',1
'10111111111111101101',1
'10111111111111101111',2
'10111111111111111001',1
'10111111111111111111',13
'11000101100000000011',1
'11000101110100001111',1
'11000110010000000000',1
'11000111110110111111',1
'11000111111111111111',1
'11001011011001101001',1
'11001011100000000001',1
'11001101100000000001',1
'11001101101111110111',1
'11001101111111111111',1
'11001110011000000011',1
'11001110111111110101',1
'11001111001000000001',1
'11001111001111111111',1
'11001111010000000001',1
'11001111010011010011',1
'11001111011111110111',1
'11001111011111111001',1
'11001111011111111101',1
'11001111011111111111',1
'11001111100000000001',2
'11001111100010000001',1
'11001111100011111011',1
'11001111100111101101',1
'11001111100111111111',2
'11001111101000000001',1
'11001111101011111111',1
'11001111101110111111',1
'11001111110111111011',1
'11001111110111111111',1
'11001111111011111111',1
'11001111111100000001',1
'11001111111111100011',1
'11001111111111111101',1
'11001111111111111111',4
'11010000000000000001',2
'11010000111111101111',1
'11010000111111111101',1
'11010001111111111110',1
'11010010111111111111',1
'11010011011111111110',1
'11010100100000000001',1
'11010100111110111111',1
'11010100111111111100',1
'11010111111111111111',1
'11011001011111111100',1
'11011001011111111111',1
'11011011011001111101',1
'11011101110011111111',1
'11011101111111111111',1
'11011110001110111111',1
'11011110100000000000',1
'11011110111111111111',3
'11011111000000000011',1
'11011111000000101011',1
'11011111001011000001',1
'11011111001111111111',1
'11011111010000000001',1
'11011111011011111111',1
'11011111011111111101',1
'11011111011111111111',2
'11011111100000000001',1
'11011111100011111111',1
'11011111100100000001',1
'11011111100111111111',1
'11011111101000100001',1
'11011111101100001111',1
'11011111101110000001',1
'11011111101110011111',1
'11011111101111110111',1
'11011111101111111111',5
'11011111110000000001',2
'11011111110001110001',1
'11011111110011110111',2
'11011111110100111111',1
'11011111110111111111',4
'11011111111001110001',1
'11011111111010000011',1
'11011111111011111111',1
'11011111111101111111',2
'11011111111111101111',2
'11011111111111110111',3
'11011111111111111001',1
'11011111111111111011',1
'11011111111111111101',3
'11011111111111111111',17
'11100000000000000001',1
'11100000110000000001',1
'11100010000000000011',1
'11100010110111111111',1
'11100111011111110111',1
'11100111111110111101',1
'11100111111111011111',1
'11100111111111111111',1
'11101011111111011101',1
'11101011111111110111',1
'11101011111111111111',2
'11101101001111111111',1
'11101101111001111101',1
'11101101111101111111',1
'11101101111111011111',1
'11101101111111111101',2
'11101101111111111111',3
'11101110000000000001',3
'11101110101010111111',1
'11101110101100010001',1
'11101110101111000001',1
'11101110111111100101',1
'11101110111111101001',1
'11101110111111101111',1
'11101110111111110111',1
'11101110111111111111',5
'11101111000000000001',1
'11101111010000000001',1
'11101111010000011111',1
'11101111010101111111',1
'11101111010110000001',1
